rd,name,p
2,Millersville,0.619
2,Merrimack,0.558
2,Adelphi,0.442
2,West Chester,0.381
3,East Stroudsburg,0.643
3,Stonehill,0.547
3,Millersville,0.245
3,Merrimack,0.243
3,Adelphi,0.209
3,West Chester,0.113
4,East Stroudsburg,0.461
4,Stonehill,0.156
4,Millersville,0.154
4,Merrimack,0.083
4,Adelphi,0.077
4,West Chester,0.069
