year,team_id,team_name,wins,losses,ties,total_games
2007,14,Albany (NY),12,7,0,19
2007,16,Albright,6,12,0,18
2007,938,Alvernia,18,5,0,23
2007,23,American,14,7,0,21
2007,22,American Int'l,2,16,0,18
2007,24,Amherst,8,8,0,16
2007,26,Anna Maria,3,12,0,15
2007,27,Appalachian St.,2,18,0,20
2007,966,Arcadia,3,15,0,18
2007,36,Assumption,5,14,0,19
2007,45,Babson,9,11,0,20
2007,47,Ball St.,8,12,0,20
2007,50,Bates,6,8,0,14
2007,26107,Becker,2,16,0,18
2007,52,Bellarmine,12,7,0,19
2007,56,Bentley,17,6,0,23
2007,65,Bloomsburg,24,0,0,24
2007,67,Boston College,14,6,0,20
2007,68,Boston U.,14,7,0,21
2007,69,Bowdoin,17,2,0,19
2007,75,Bridgewater (VA),6,12,0,18
2007,76,Bridgewater St.,8,10,0,18
2007,78,Brockport,8,8,0,16
2007,80,Brown,9,7,0,16
2007,81,Bryant,11,10,0,21
2007,82,Bryn Mawr,3,15,0,18
2007,83,Bucknell,7,10,0,17
2007,88,Cabrini,7,11,0,18
2007,1305,Cairn,8,12,0,20
2007,107,California,17,5,0,22
2007,123,Castleton,6,11,0,17
2007,1001,Catawba,3,14,0,17
2007,124,Catholic,13,8,0,21
2007,14795,Cedar Crest,2,15,0,17
2007,129,Central Mich.,11,10,0,21
2007,132,Centre,9,7,0,16
2007,139,Chris. Newport,14,4,0,18
2007,145,Clark (MA),4,12,0,16
2007,151,Colby,4,10,0,14
2007,153,Colgate,4,12,0,16
2007,158,Columbia,7,10,0,17
2007,163,Connecticut Col.,6,8,0,14
2007,167,Cornell,7,9,0,16
2007,172,Dartmouth,3,14,0,17
2007,173,Davidson,8,13,0,21
2007,180,Delaware,7,12,0,19
2007,179,Delaware Valley,10,9,0,19
2007,182,Denison,7,11,0,18
2007,177,DePauw,12,7,0,19
2007,20,DeSales,9,9,0,18
2007,185,Dickinson,7,10,0,17
2007,190,Drew,3,14,0,17
2007,191,Drexel,8,11,0,19
2007,193,Duke,16,6,0,22
2007,195,Earlham,2,15,0,17
2007,197,East Stroudsburg,13,7,0,20
2007,203,East. Mennonite,13,6,0,19
2007,8968,Eastern,17,5,0,22
2007,200,Eastern Conn. St.,4,14,0,18
2007,211,Elizabethtown,16,6,0,22
2007,213,Elmira,4,13,0,17
2007,532,Elms,1,14,0,15
2007,8981,Endicott,16,5,0,21
2007,220,Fairfield,6,13,0,19
2007,221,FDU-Florham,13,8,0,21
2007,227,Fitchburg St.,9,8,0,17
2007,238,Framingham St.,6,10,0,16
2007,239,Frank. & Marsh.,5,12,0,17
2007,241,Franklin Pierce,6,12,0,18
2007,243,Frostburg St.,6,13,0,19
2007,251,Georgetown,5,12,0,17
2007,258,Gettysburg,10,8,0,18
2007,1099,Gordon,11,8,0,19
2007,1467,Goucher,1,14,0,15
2007,12399,Gwynedd Mercy,7,11,0,18
2007,267,Hamilton,5,9,0,14
2007,273,Hartwick,6,11,0,17
2007,275,Harvard,4,13,0,17
2007,276,Haverford,7,9,0,16
2007,283,Hofstra,13,7,0,20
2007,285,Holy Cross,14,6,0,20
2007,8404,Hood,3,12,0,15
2007,1133,Husson,8,7,0,15
2007,303,Immaculata,4,14,0,18
2007,306,Indiana,14,5,0,19
2007,307,Indiana (PA),15,6,0,21
2007,312,Iowa,12,9,0,21
2007,313,Ithaca,6,11,0,17
2007,317,James Madison,15,8,0,23
2007,322,Johns Hopkins,15,8,0,23
2007,325,Juniata,16,5,0,21
2007,329,Kean,9,7,0,16
2007,330,Keene St.,18,5,0,23
2007,331,Kent St.,7,15,0,22
2007,335,Kenyon,18,6,0,24
2007,336,King's (PA),19,4,0,23
2007,339,Kutztown,10,10,0,20
2007,340,La Salle,7,13,0,20
2007,342,Lafayette,5,14,0,19
2007,8486,Lasell,7,12,0,19
2007,351,Lebanon Valley,20,3,0,23
2007,352,Lehigh,5,12,0,17
2007,502725,Lindenwood (MO),2,7,0,9
2007,362,LIU Post,11,6,0,17
2007,360,Lock Haven,17,6,0,23
2007,363,Longwood,5,13,0,18
2007,367,Louisville,12,8,0,20
2007,374,Lynchburg,18,3,0,21
2007,380,Maine,8,11,0,19
2007,382,Manhattanville,3,16,0,19
2007,384,Mansfield,11,10,0,21
2007,389,Mary Baldwin,0,11,0,11
2007,390,Mary Washington,12,7,0,19
2007,392,Maryland,23,2,0,25
2007,397,Marywood,5,11,0,16
2007,400,Massachusetts,6,14,0,20
2007,773,McDaniel,10,9,0,19
2007,379,Me.-Farmington,15,3,0,18
2007,408,Mercyhurst,7,8,0,15
