year,team_id,team_name,wins,losses,ties,total_games
2014,3,Adelphi,11,9,0,20
2014,14,Albany (NY),16,5,0,21
2014,16,Albright,6,13,0,19
2014,938,Alvernia,14,7,0,21
2014,23,American,15,6,0,21
2014,22,American Int'l,8,10,0,18
2014,24,Amherst,13,3,0,16
2014,26,Anna Maria,15,7,0,22
2014,27,Appalachian St.,2,16,0,18
2014,966,Arcadia,14,7,0,21
2014,36,Assumption,7,11,0,18
2014,45,Babson,11,9,0,20
2014,47,Ball St.,6,12,0,18
2014,50,Bates,4,10,0,14
2014,26520,Bay Path,2,12,0,14
2014,26107,Becker,2,17,0,19
2014,52,Bellarmine,9,10,0,19
2014,56,Bentley,11,8,0,19
2014,59,Bethany (WV),2,12,0,14
2014,65,Bloomsburg,13,7,0,20
2014,67,Boston College,12,8,0,20
2014,68,Boston U.,13,7,0,20
2014,69,Bowdoin,18,3,0,21
2014,75,Bridgewater (VA),12,7,0,19
2014,76,Bridgewater St.,16,6,0,22
2014,78,Brockport,6,9,0,15
2014,80,Brown,6,11,0,17
2014,81,Bryant,11,7,0,18
2014,82,Bryn Mawr,5,11,0,16
2014,83,Bucknell,8,10,0,18
2014,88,Cabrini,10,8,0,18
2014,107,California,7,12,0,19
2014,123,Castleton,14,7,0,21
2014,124,Catholic,15,6,0,21
2014,14795,Cedar Crest,1,17,0,18
2014,129,Central Mich.,7,12,0,19
2014,132,Centre,16,5,0,21
2014,139,Chris. Newport,21,2,0,23
2014,145,Clark (MA),8,10,0,18
2014,151,Colby,9,6,0,15
2014,152,Colby-Sawyer,6,11,0,17
2014,153,Colgate,4,13,0,17
2014,158,Columbia,6,11,0,17
2014,163,Connecticut Col.,3,11,0,14
2014,167,Cornell,10,7,0,17
2014,2691,Daniel Webster,1,12,0,13
2014,172,Dartmouth,7,10,0,17
2014,173,Davidson,6,14,0,20
2014,180,Delaware,17,5,0,22
2014,179,Delaware Valley,13,8,0,21
2014,182,Denison,17,2,0,19
2014,177,DePauw,17,5,0,22
2014,20,DeSales,8,10,0,18
2014,185,Dickinson,12,6,0,18
2014,2692,Dowling,1,11,0,12
2014,190,Drew,16,4,0,20
2014,191,Drexel,13,7,0,20
2014,193,Duke,17,7,0,24
2014,195,Earlham,2,16,0,18
2014,197,East Stroudsburg,8,11,0,19
2014,203,East. Mennonite,4,15,0,19
2014,8968,Eastern,9,10,0,19
2014,200,Eastern Conn. St.,8,10,0,18
2014,211,Elizabethtown,14,6,0,20
2014,213,Elmira,4,12,0,16
2014,532,Elms,5,14,0,19
2014,8981,Endicott,9,11,0,20
2014,220,Fairfield,11,7,0,18
2014,221,FDU-Florham,6,13,0,19
2014,227,Fitchburg St.,6,11,0,17
2014,238,Framingham St.,9,10,0,19
2014,239,Frank. & Marsh.,17,2,0,19
2014,241,Franklin Pierce,3,15,0,18
2014,243,Frostburg St.,7,13,0,20
2014,251,Georgetown,2,16,0,18
2014,258,Gettysburg,10,6,0,16
2014,1099,Gordon,17,6,0,23
2014,1467,Goucher,4,13,0,17
2014,12399,Gwynedd Mercy,12,9,0,21
2014,267,Hamilton,3,11,0,14
2014,273,Hartwick,5,13,0,18
2014,275,Harvard,8,9,0,17
2014,276,Haverford,11,8,0,19
2014,1124,Hendrix,0,14,0,14
2014,283,Hofstra,6,14,0,20
2014,285,Holy Cross,5,12,0,17
2014,8404,Hood,3,14,0,17
2014,30160,Houghton,6,12,0,18
2014,1133,Husson,10,8,0,18
2014,303,Immaculata,6,13,0,19
2014,306,Indiana,9,10,0,19
2014,307,Indiana (PA),8,11,0,19
2014,312,Iowa,13,8,0,21
2014,313,Ithaca,10,8,0,18
2014,317,James Madison,10,8,0,18
2014,322,Johns Hopkins,7,10,0,17
2014,22626,Johnson & Wales (RI),5,13,0,18
2014,325,Juniata,9,11,0,20
2014,329,Kean,15,5,0,20
2014,330,Keene St.,21,4,0,25
2014,331,Kent St.,8,11,0,19
2014,335,Kenyon,13,7,0,20
2014,30047,Keystone,6,11,0,17
2014,336,King's (PA),8,8,0,16
2014,339,Kutztown,7,10,0,17
2014,340,La Salle,5,14,0,19
2014,342,Lafayette,6,12,0,18
2014,8486,Lasell,10,10,0,20
2014,351,Lebanon Valley,10,10,0,20
2014,352,Lehigh,3,15,0,18
2014,355,Liberty,17,5,0,22
2014,1174,Limestone,15,5,0,20
2014,30136,Lindenwood (MO),8,9,0,17
2014,362,LIU Post,21,1,0,22
2014,360,Lock Haven,14,7,0,21
2014,363,Longwood,10,12,0,22
2014,367,Louisville,15,5,0,20
2014,374,Lynchburg,16,5,0,21
2014,380,Maine,11,9,0,20
2014,382,Manhattanville,11,8,0,19
2014,384,Mansfield,5,13,0,18
2014,390,Mary Washington,15,3,0,18
2014,392,Maryland,22,2,0,24
2014,397,Marywood,4,13,0,17
2014,400,Massachusetts,19,5,0,24
2014,773,McDaniel,8,9,0,17
2014,379,Me.-Farmington,8,7,0,15
2014,407,Mercy,5,13,0,18
2014,408,Mercyhurst,9,9,0,18
2014,410,Merrimack,14,6,0,20
2014,411,Messiah,15,6,0,21
