date,site,home,div,score,away,div,score
2016-09-24,home,Adelphi,D2,4.26,Saint Michael's,D2,1.96
2016-09-24,home,Alvernia,D3,3.85,Arcadia,D3,0.46
2016-09-24,home,American,D1,3.91,Lehigh,D1,0.70
2016-09-25,home,American,D1,2.45,Princeton,D1,1.97
2016-09-27,home,American Int'l,D2,1.13,Bentley,D2,0.69
2016-09-24,home,Amherst,D3,2.60,Williams,D3,1.58
2016-09-27,home,Amherst,D3,2.69,MIT,D3,1.89
2016-09-24,home,Anna Maria,D3,1.65,Simmons,D3,2.87
2016-09-23,home,Appalachian St.,D1,2.19,California,D1,2.41
2016-09-25,home,Appalachian St.,D1,0.81,Louisville,D1,6.03
2016-09-26,home,Arcadia,D3,1.58,Immaculata,D3,1.15
2016-09-24,home,Assumption,D2,3.90,Southern Conn. St.,D2,1.34
2016-09-24,home,Bates,D3,2.87,Wesleyan (CT),D3,1.06
2016-09-25,home,Bates,D3,2.38,Williams,D3,1.40
2016-09-24,home,Bay Path,D3,1.52,Elms,D3,3.70
2016-09-22,home,Bellarmine,D2,5.12,Concordia Wisconsin,D3,0.82
2016-09-23,home,Bellarmine,D2,4.02,Newberry,D2,1.16
2016-09-24,home,Bellarmine,D2,2.41,Mercy,D2,1.35
2016-09-24,home,Belmont Abbey,D2,6.89,Sweet Briar,D3,0.37
2016-09-24,home,Bentley,D2,1.12,Pace,D2,1.14
2016-09-24,home,Bloomsburg,D2,5.89,Mercyhurst,D2,0.51
2016-09-28,home,Bloomsburg,D2,5.12,Mansfield,D2,0.41
2016-09-23,home,Boston College,D1,2.71,Virginia,D1,1.10
2016-09-25,home,Boston College,D1,2.69,Massachusetts,D1,1.41
2016-09-25,home,Boston U.,D1,1.65,UConn,D1,2.52
2016-09-28,home,Bowdoin,D3,1.93,Wellesley,D3,1.09
2016-09-24,home,Bridgewater St.,D3,2.45,Fitchburg St.,D3,2.39
2016-09-23,home,Brockport,D3,1.04,SUNY New Paltz,D3,4.25
2016-09-24,home,Brockport,D3,1.70,SUNY Oneonta,D3,2.18
2016-09-27,home,Brockport,D3,1.32,Houghton,D3,2.79
2016-09-24,home,Brown,D1,2.99,Columbia,D1,2.73
2016-09-25,home,Bryant,D1,1.28,Columbia,D1,2.35
2016-09-24,home,Bryn Mawr,D3,1.18,McDaniel,D3,3.78
2016-09-24,home,Cabrini,D3,4.19,Neumann,D3,2.50
2016-09-24,home,Castleton,D3,1.42,Me.-Farmington,D3,6.27
2016-09-24,home,Catholic,D3,2.64,Susquehanna,D3,1.58
2016-09-28,home,Catholic,D3,2.24,Mary Washington,D3,2.85
2016-09-28,home,Cedar Crest,D3,1.66,Wilson,D3,1.38
2016-09-23,home,Central Mich.,D1,0.95,Miami (OH),D1,3.50
2016-09-25,home,Central Mich.,D1,1.15,Indiana,D1,4.07
2016-09-24,home,Centre,D3,3.55,Roanoke,D3,1.95
2016-09-25,home,Centre,D3,6.94,Ferrum,D3,0.85
2016-09-24,home,Colgate,D1,1.33,Holy Cross,D1,2.63
2016-09-25,home,Colgate,D1,0.92,Rider,D1,4.01
2016-09-25,home,Connecticut Col.,D3,1.59,Colby,D3,2.87
2016-09-24,home,Cornell,D1,2.90,Penn,D1,1.20
2016-09-25,home,Cornell,D1,4.02,Vermont,D1,0.98
2016-09-23,home,Delaware Valley,D3,1.50,Manhattanville,D3,1.50
2016-09-27,home,Delaware Valley,D3,0.86,Alvernia,D3,2.51
2016-09-24,home,DePauw,D3,2.84,Denison,D3,1.97
2016-09-25,home,DePauw,D3,3.10,Kenyon,D3,1.68
2016-09-24,home,DeSales,D3,1.88,Wilkes,D3,3.07
2016-09-24,home,Drew,D3,0.79,Elizabethtown,D3,2.41
2016-09-23,home,Drexel,D1,1.48,Monmouth,D1,2.52
2016-09-23,home,Earlham,D3,1.18,Denison,D3,2.72
2016-09-24,home,Earlham,D3,1.29,Kenyon,D3,2.33
2016-09-28,home,Eastern,D3,1.48,Elizabethtown,D3,1.95
2016-09-24,home,Eastern Conn. St.,D3,1.87,Worcester St.,D3,1.37
2016-09-25,home,East. Mennonite,D3,7.41,Notre Dame (MD),D3,1.28
2016-09-24,home,East Stroudsburg,D2,2.26,Kutztown,D2,1.11
2016-09-28,home,Elmira,D3,3.27,Keuka,D3,1.58
2016-09-22,home,Elms,D3,1.74,Mount Ida,D3,2.49
2016-09-27,home,Elms,D3,1.92,Clark (MA),D3,2.38
2016-09-22,home,Endicott,D3,2.61,Amherst,D3,2.96
2016-09-24,home,Endicott,D3,3.08,Gordon,D3,1.27
2016-09-25,home,Fairfield,D1,1.31,Virginia,D1,2.52
2016-09-24,home,FDU-Florham,D3,2.97,Misericordia,D3,1.05
2016-09-27,home,FDU-Florham,D3,1.49,TCNJ,D3,3.11
2016-09-28,home,Ferrum,D3,1.15,Bridgewater (VA),D3,3.00
2016-09-28,home,Fitchburg St.,D3,1.84,Eastern Conn. St.,D3,1.20
2016-09-22,home,Framingham St.,D3,1.31,Regis (MA),D3,2.80
2016-09-24,home,Framingham St.,D3,2.64,Salem St.,D3,3.21
2016-09-25,neutral,Framingham St.,D3,0.60,Mary Washington,D3,10.97
2016-09-28,home,Framingham St.,D3,1.07,UMass Dartmouth,D3,5.09
2016-09-27,home,Franklin Pierce,D2,1.58,Saint Michael's,D2,1.18
2016-09-24,home,Frank. & Marsh.,D3,1.47,Ursinus,D3,2.24
2016-09-24,home,Frostburg St.,D3,2.27,Bridgewater (VA),D3,1.41
2016-09-28,home,Frostburg St.,D3,2.14,Dickinson,D3,1.88
2016-09-23,home,Georgetown,D1,1.21,Old Dominion,D1,3.41
2016-09-25,home,Georgetown,D1,2.20,Lehigh,D1,1.37
2016-09-24,home,Gettysburg,D3,5.61,Washington Col.,D3,1.33
2016-09-28,home,Gordon,D3,0.83,U New England,D3,2.71
2016-09-24,home,Goucher,D3,1.82,Juniata,D3,1.47
2016-09-27,home,Goucher,D3,3.46,Hood,D3,1.66
2016-09-24,home,Gwynedd Mercy,D3,1.61,Montclair St.,D3,3.08
2016-09-24,home,Hamilton,D3,3.61,Connecticut Col.,D3,1.18
2016-09-25,home,Hamilton,D3,2.14,Middlebury,D3,2.91
2016-09-24,home,Hartwick,D3,1.08,Wash. & Jeff.,D3,1.73
2016-09-23,home,Harvard,D1,1.61,Yale,D1,1.49
2016-09-25,home,Harvard,D1,1.20,Maine,D1,2.78
2016-09-24,home,Haverford,D3,1.49,Rowan,D3,2.29
2016-09-28,home,Haverford,D3,1.19,Muhlenberg,D3,2.67
2016-09-24,home,Hendrix,D3,2.94,Concordia Wisconsin,D3,3.05
2016-09-25,neutral,Hofstra,D1,2.94,Saint Francis (PA),D1,1.38
2016-09-24,home,Husson,D3,5.31,Thomas (ME),D3,2.65
2016-09-24,home,Immaculata,D3,1.33,Wilson,D3,2.02
2016-09-23,home,Indiana,D1,2.32,Rutgers,D1,3.31
2016-09-23,home,Iowa,D1,2.16,Maryland,D1,2.04
2016-09-25,home,Iowa,D1,3.11,Rutgers,D1,1.96
2016-09-24,home,Ithaca,D3,3.97,Nazareth,D3,0.76
2016-09-22,home,Johnson & Wales (RI),D3,0.97,Babson,D3,6.40
2016-09-22,home,Keene St.,D3,3.61,Trinity (CT),D3,2.91
2016-09-28,home,Keene St.,D3,3.04,Southern Me.,D3,0.81
2016-09-23,home,Kent St.,D1,2.16,Ball St.,D1,0.94
2016-09-25,home,Keuka,D3,1.56,Utica,D3,3.99
2016-09-23,home,King's (PA),D3,3.05,Eastern,D3,1.52
2016-09-28,home,King's (PA),D3,2.89,Keystone,D3,0.72
2016-09-28,home,Kutztown,D2,4.95,Mercyhurst,D2,0.95
2016-09-23,home,Lafayette,D1,1.06,Boston U.,D1,2.63
2016-09-25,home,Lafayette,D1,2.05,Delaware,D1,3.54
2016-09-25,home,La Salle,D1,2.22,Davidson,D1,1.53
2016-09-24,home,Lebanon Valley,D3,2.18,Albright,D3,1.77
2016-09-28,home,Lebanon Valley,D3,2.82,Misericordia,D3,1.05
2016-09-23,home,Liberty,D1,2.95,Quinnipiac,D1,1.00
2016-09-24,home,Limestone,D2,2.36,Mansfield,D2,0.96
2016-09-24,home,Lindenwood (MO),D2,5.35,Newberry,D2,1.42
2016-09-25,home,Lindenwood (MO),D2,3.21,Mercy,D2,1.65
2016-09-25,home,Longwood,D1,1.95,Kent St.,D1,2.51
2016-09-28,neutral,Lynchburg,D3,0.81,Salisbury,D3,4.03
2016-09-24,home,Marywood,D3,2.03,Cedar Crest,D3,0.84
2016-09-28,home,Marywood,D3,2.09,Gwynedd Mercy,D3,1.73
2016-09-23,home,Massachusetts,D1,1.85,Stanford,D1,1.84
2016-09-28,home,McDaniel,D3,1.46,Frank. & Marsh.,D3,3.27
2016-09-27,home,Mercy,D2,2.00,St. Thomas Aquinas,D2,0.76
2016-09-24,home,Merrimack,D2,1.54,Franklin Pierce,D2,1.27
2016-09-24,home,Messiah,D3,6.22,Stevenson,D3,0.85
2016-09-23,home,Michigan,D1,3.51,Ohio St.,D1,0.71
2016-09-25,home,Michigan,D1,2.09,Penn St.,D1,1.93
2016-09-24,home,Michigan St.,D1,3.02,Miami (OH),D1,1.83
2016-09-25,home,Michigan St.,D1,3.69,Ohio St.,D1,1.83
2016-09-24,home,Middlebury,D3,1.67,Bowdoin,D3,2.52
2016-09-24,home,Millersville,D2,1.21,Indiana (PA),D2,0.57
2016-09-28,home,Millersville,D2,2.20,Slippery Rock,D2,0.79
2016-09-22,home,Missouri St.,D1,2.80,LIU Brooklyn,D1,1.67
2016-09-24,home,Missouri St.,D1,1.05,UC Davis,D1,1.78
2016-09-26,home,Missouri St.,D1,0.87,Pacific,D1,6.75
2016-09-24,home,MIT,D3,2.88,WPI,D3,1.27
2016-09-25,home,Molloy,D2,1.07,Saint Michael's,D2,2.08
2016-09-25,home,Monmouth,D1,3.08,Bucknell,D1,1.31
2016-09-28,home,Moravian,D3,0.61,Albright,D3,2.67
2016-09-23,home,Morrisville St.,D3,1.44,SUNY Cortland,D3,5.47
2016-09-24,home,Morrisville St.,D3,3.57,Wells,D3,1.75
2016-09-24,home,Mount Ida,D3,3.75,Rivier,D3,1.55
