BEGIN
SET
    date    |  site   |         home         | div | score |         away         | div | score 
------------+---------+----------------------+-----+-------+----------------------+-----+-------
 2016-09-24 | home    | Adelphi              |   2 |  4.26 | Saint Michael's      |   2 |  1.96
 2016-09-24 | home    | Alvernia             |   3 |  3.85 | Arcadia              |   3 |  0.46
 2016-09-24 | home    | American             |   1 |  3.91 | Lehigh               |   1 |  0.70
 2016-09-25 | home    | American             |   1 |  2.45 | Princeton            |   1 |  1.97
 2016-09-27 | home    | American Int'l       |   2 |  1.13 | Bentley              |   2 |  0.69
 2016-09-27 | home    | Amherst              |   3 |  2.69 | MIT                  |   3 |  1.89
 2016-09-24 | home    | Amherst              |   3 |  2.60 | Williams             |   3 |  1.58
 2016-09-24 | home    | Anna Maria           |   3 |  1.65 | Simmons              |   3 |  2.87
 2016-09-23 | home    | Appalachian St.      |   1 |  2.19 | California           |   1 |  2.41
 2016-09-25 | home    | Appalachian St.      |   1 |  0.81 | Louisville           |   1 |  6.03
 2016-09-26 | home    | Arcadia              |   3 |  1.58 | Immaculata           |   3 |  1.15
 2016-09-24 | home    | Assumption           |   2 |  3.90 | Southern Conn. St.   |   2 |  1.34
 2016-09-25 | home    | Bates                |   3 |  2.38 | Williams             |   3 |  1.40
 2016-09-24 | home    | Bates                |   3 |  2.87 | Wesleyan (CT)        |   3 |  1.06
 2016-09-24 | home    | Bay Path             |   3 |  1.52 | Elms                 |   3 |  3.70
 2016-09-24 | home    | Bellarmine           |   2 |  2.41 | Mercy                |   2 |  1.35
 2016-09-22 | home    | Bellarmine           |   2 |  5.12 | Concordia Wisconsin  |   3 |  0.82
 2016-09-23 | home    | Bellarmine           |   2 |  4.02 | Newberry             |   2 |  1.16
 2016-09-24 | home    | Belmont Abbey        |   2 |  6.89 | Sweet Briar          |   3 |  0.37
 2016-09-24 | home    | Bentley              |   2 |  1.12 | Pace                 |   2 |  1.14
 2016-09-28 | home    | Bloomsburg           |   2 |  5.12 | Mansfield            |   2 |  0.41
 2016-09-24 | home    | Bloomsburg           |   2 |  5.89 | Mercyhurst           |   2 |  0.51
 2016-09-23 | home    | Boston College       |   1 |  2.71 | Virginia             |   1 |  1.10
 2016-09-25 | home    | Boston College       |   1 |  2.69 | Massachusetts        |   1 |  1.41
 2016-09-25 | home    | Boston U.            |   1 |  1.65 | UConn                |   1 |  2.52
 2016-09-28 | home    | Bowdoin              |   3 |  1.93 | Wellesley            |   3 |  1.09
 2016-09-24 | home    | Bridgewater St.      |   3 |  2.45 | Fitchburg St.        |   3 |  2.39
 2016-09-27 | home    | Brockport            |   3 |  1.32 | Houghton             |   3 |  2.79
 2016-09-24 | home    | Brockport            |   3 |  1.70 | SUNY Oneonta         |   3 |  2.18
 2016-09-23 | home    | Brockport            |   3 |  1.04 | SUNY New Paltz       |   3 |  4.25
 2016-09-24 | home    | Brown                |   1 |  2.99 | Columbia             |   1 |  2.73
 2016-09-25 | home    | Bryant               |   1 |  1.28 | Columbia             |   1 |  2.35
 2016-09-24 | home    | Bryn Mawr            |   3 |  1.18 | McDaniel             |   3 |  3.78
 2016-09-24 | home    | Cabrini              |   3 |  4.19 | Neumann              |   3 |  2.50
 2016-09-24 | home    | Castleton            |   3 |  1.42 | Me.-Farmington       |   3 |  6.27
 2016-09-24 | home    | Catholic             |   3 |  2.64 | Susquehanna          |   3 |  1.58
 2016-09-28 | home    | Catholic             |   3 |  2.24 | Mary Washington      |   3 |  2.85
 2016-09-28 | home    | Cedar Crest          |   3 |  1.66 | Wilson               |   3 |  1.38
 2016-09-23 | home    | Central Mich.        |   1 |  0.95 | Miami (OH)           |   1 |  3.50
 2016-09-25 | home    | Central Mich.        |   1 |  1.15 | Indiana              |   1 |  4.07
 2016-09-25 | home    | Centre               |   3 |  6.94 | Ferrum               |   3 |  0.85
 2016-09-24 | home    | Centre               |   3 |  3.55 | Roanoke              |   3 |  1.95
 2016-09-24 | home    | Colgate              |   1 |  1.33 | Holy Cross           |   1 |  2.63
 2016-09-25 | home    | Colgate              |   1 |  0.92 | Rider                |   1 |  4.01
 2016-09-25 | home    | Connecticut Col.     |   3 |  1.59 | Colby                |   3 |  2.87
 2016-09-25 | home    | Cornell              |   1 |  4.02 | Vermont              |   1 |  0.98
 2016-09-24 | home    | Cornell              |   1 |  2.90 | Penn                 |   1 |  1.20
 2016-09-23 | home    | Delaware Valley      |   3 |  1.50 | Manhattanville       |   3 |  1.50
