year,round_id,seed,division_id,team_id,team_name,bracket,p
2016,1,1,1,688,Syracuse,"{1,1,1,1,1,1}",1.0
2016,1,,1,400,Massachusetts,"{2,2,1,1,1,1}",1.0
2016,1,,1,331,Kent St,"{3,2,1,1,1,1}",1.0
2016,1,8,1,392,Maryland,"{4,3,2,1,1,1}",1.0
2016,1,,1,554,Princeton,"{5,4,2,1,1,1}",1.0
2016,1,5,1,14,Albany (NY),"{6,5,3,2,1,1}",1.0
2016,1,,1,67,Boston College,"{7,6,3,2,1,1}",1.0
2016,1,,1,367,Louisville,"{8,7,4,2,1,1}",1.0
2016,1,4,1,164,UConn,"{9,8,4,2,1,1}",1.0
2016,1,3,1,746,Virginia,"{10,9,5,3,2,1}",1.0
2016,1,,1,180,Delaware,"{11,10,5,3,2,1}",1.0
2016,1,6,1,193,Duke,"{12,11,6,3,2,1}",1.0
2016,1,,1,674,Stanford,"{13,12,6,3,2,1}",1.0
2016,1,7,1,749,Wake Forest,"{14,13,7,4,2,1}",1.0
2016,1,,1,418,Michigan,"{15,14,7,4,2,1}",1.0
2016,1,,1,68,Boston U.,"{16,15,8,4,2,1}",1.0
2016,1,,1,220,Fairfield,"{17,15,8,4,2,1}",1.0
2016,1,2,1,457,North Carolina,"{18,16,8,4,2,1}",1.0
