date,site,home,div,score,away,div,score,win,lose,wr,lr,dr,wo1,lo1,wo2,lo2,wso,lso
2015-11-11,home,Boston U.,D1,4.90,Fairfield,D1,4.90,0.944,0.056,0.899,0.042,0.059,0.034,0.009,0.009,0.002,0.002,0.002
2015-11-11,home,Massachusetts,D1,2.94,Kent St.,D1,2.94,0.780,0.220,0.679,0.164,0.157,0.064,0.032,0.025,0.012,0.012,0.012
2015-11-14,home,Merrimack,D2,2.10,Adelphi,D2,2.10,0.558,0.442,0.449,0.344,0.207,0.063,0.055,0.027,0.024,0.019,0.019
2015-11-14,home,Millersville,D2,1.38,West Chester,D2,1.38,0.619,0.381,0.467,0.260,0.273,0.064,0.044,0.039,0.027,0.050,0.050
2015-11-14,home,UConn,D1,2.92,Louisville,D1,2.92,0.910,0.090,0.823,0.060,0.116,0.051,0.012,0.023,0.006,0.012,0.012
2015-11-14,home,Virginia,D1,4.36,Delaware,D1,4.36,0.772,0.228,0.695,0.182,0.123,0.060,0.035,0.014,0.008,0.003,0.003
