date,site,home,div,score,away,div,score,win,lose,wr,lr,dr,wo1,lo1,wo2,lo2,wso,lso
2015-11-11,home,Boston U.,D1,4.90,Fairfield,D1,1.33,0.944,0.056,0.899,0.042,0.059,0.034,0.009,0.009,0.002,0.002,0.002
2015-11-11,home,Massachusetts,D1,2.94,Kent St.,D1,1.45,0.780,0.220,0.679,0.164,0.157,0.064,0.032,0.025,0.012,0.012,0.012
