team_name,p
UConn,0.439
Syracuse,0.234
North Carolina,0.222
Duke,0.032
Virginia,0.019
Michigan,0.016
Maryland,0.015
Wake Forest,0.006
Boston College,0.004
Albany (NY),0.004
Louisville,0.003
Stanford,0.003
Delaware,0.001
Princeton,0.001
Boston U.,0.001
Kent St,0.000
Fairfield,0.000
Massachusetts,0.000
