rd,name,p
2,Boston U.,0.944
2,Massachusetts,0.780
2,Kent St,0.220
2,Fairfield,0.056
3,Syracuse,0.962
3,North Carolina,0.933
3,UConn,0.910
3,Virginia,0.772
3,Maryland,0.759
3,Duke,0.713
3,Albany (NY),0.548
3,Wake Forest,0.536
3,Michigan,0.464
3,Boston College,0.452
3,Stanford,0.287
3,Princeton,0.241
3,Delaware,0.228
3,Louisville,0.090
3,Boston U.,0.067
3,Massachusetts,0.036
3,Kent St,0.002
3,Fairfield,0.000
4,UConn,0.849
4,Syracuse,0.800
4,North Carolina,0.779
4,Virginia,0.446
4,Duke,0.374
4,Maryland,0.166
4,Michigan,0.106
4,Stanford,0.102
4,Wake Forest,0.091
4,Delaware,0.077
4,Albany (NY),0.056
4,Boston College,0.052
4,Louisville,0.043
4,Princeton,0.025
4,Boston U.,0.024
4,Massachusetts,0.009
4,Kent St,0.000
4,Fairfield,0.000
5,North Carolina,0.592
5,UConn,0.568
5,Syracuse,0.355
5,Duke,0.137
5,Virginia,0.125
5,Michigan,0.061
5,Wake Forest,0.039
5,Maryland,0.038
5,Stanford,0.025
5,Boston College,0.013
5,Delaware,0.013
5,Albany (NY),0.013
5,Louisville,0.010
5,Boston U.,0.007
5,Princeton,0.003
5,Massachusetts,0.001
5,Fairfield,0.000
5,Kent St,0.000
6,UConn,0.439
6,Syracuse,0.234
6,North Carolina,0.222
6,Duke,0.032
6,Virginia,0.019
6,Michigan,0.016
6,Maryland,0.015
6,Wake Forest,0.006
6,Boston College,0.004
6,Albany (NY),0.004
6,Louisville,0.003
6,Stanford,0.003
6,Delaware,0.001
6,Princeton,0.001
6,Boston U.,0.001
6,Kent St,0.000
6,Fairfield,0.000
6,Massachusetts,0.000
